email,Year,Company,Code of Ethics,Whistleblower Policy,Cyber Security Policy,Conflict of Interest Policy,Regulatory Policy,Certifications of Industry Standards,% Trained on Cyber Security,Describe Sustainability Progam,% Trained on Sustainability,% Locations ISO Certified,How many sites need environmental remediation,Maternity/Paternity Leave Offered,Education Benefits Offered,% Company Emplyoyee Owned,How many employees in a Union,Do you provide volunteer opportunities,How many total hours volunteered,Do you provide donation matching,Dollar amount of matching donation,Did the company make any donations,Dollar amount of company donations,Directors on Board,Women Directors,POC Directors,Independent Directors,Audi Committee Active,Compensation Committee Active,ESG Committee Active,Number of Leaders at VP Level or above,Number of Women leaders,Number of POC leaders,Number of Latinx leaders,Health Insurance Offered,Paid Sick Leave Offered,Retirement Savings Offered
bulsterf@about.com,06/08/2020,BCME,Yes,Yes,Yes,No,Yes,No,0.5937,"Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.

Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.

Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.",0.4488,0.4835,0,Yes,No,0.1636,90,Yes,384,No,86538,Yes,27230,6,9,7,0,No,Yes,Yes,12,5,10,8,Yes,Yes,No
dyarringtong@sciencedaily.com,12/09/2022,CCME,No,No,Yes,Yes,Yes,No,0.5666,"Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",0.6026,0.0302,3,Yes,Yes,0.0434,18,No,4921,No,58103,No,80061,6,6,8,11,No,Yes,No,19,7,15,3,Yes,No,Yes
atregienh@aboutads.info,11/27/2022,BCME,Yes,Yes,No,Yes,Yes,Yes,0.1065,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.

Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.",0.2806,0.9189,0,No,Yes,0.5001,63,Yes,908,No,32795,No,68332,3,5,1,3,No,No,No,2,14,14,5,No,Yes,Yes
gmarzellii@amazon.de,08/30/2021,ACME,Yes,Yes,Yes,No,No,Yes,0.0699,"Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",0.2567,0.6728,3,No,No,0.2638,56,No,5243,Yes,40592,Yes,74014,10,12,0,12,Yes,Yes,Yes,1,12,5,15,Yes,No,Yes
mborgesj@mapy.cz,04/25/2020,ACME,Yes,Yes,Yes,Yes,No,Yes,0.6437,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.

Phasellus in felis. Donec semper sapien a libero. Nam dui.",0.1644,0.5106,2,Yes,Yes,0.8721,63,Yes,1709,No,55490,Yes,96555,0,5,4,11,No,Yes,Yes,13,4,9,19,Yes,Yes,No
mwalfordk@dropbox.com,10/17/2021,CCME,No,Yes,Yes,No,Yes,No,0.0004,"Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.

Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.

Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",0.4747,0.8033,1,No,Yes,0.4467,40,No,2465,Yes,41075,Yes,36027,7,0,2,6,No,No,No,10,0,10,10,Yes,Yes,No
mearingeyl@mail.ru,01/16/2022,BCME,Yes,No,No,No,No,Yes,0.3637,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.

Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.

Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.",0.0972,0.5647,3,No,No,0.9903,72,Yes,3751,No,75722,Yes,45396,0,7,5,8,No,Yes,No,17,4,8,14,Yes,No,No
mbrachellm@printfriendly.com,05/16/2021,ACME,Yes,Yes,Yes,No,Yes,Yes,0.5362,"Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.

Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.",0.4411,0.1032,5,No,No,0.3309,73,Yes,6516,Yes,61198,Yes,2266,0,3,2,0,No,Yes,Yes,2,6,15,7,No,No,No
sbozworthn@ning.com,02/25/2022,CCME,Yes,No,Yes,Yes,Yes,Yes,0.4718,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.

Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.

Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.",0.1258,0.7538,2,Yes,No,0.7002,16,No,7047,Yes,23940,Yes,51872,3,12,8,10,No,Yes,No,0,10,3,17,Yes,No,No
mabelso@123-reg.co.uk,06/16/2022,BCME,No,Yes,No,No,No,Yes,0.9657,"Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.

In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.

Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.",0.9118,0.6391,3,Yes,Yes,0.4013,40,No,2538,Yes,64829,Yes,83809,11,0,4,1,Yes,Yes,No,6,8,11,7,Yes,No,No
nmcgarveyp@businessinsider.com,10/23/2021,ACME,Yes,Yes,Yes,Yes,No,No,0.7594,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.

Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.",0.6308,0.8779,5,No,Yes,0.9952,64,Yes,8982,No,69378,No,43903,2,5,4,11,No,No,No,0,9,9,13,No,No,Yes
snuttyq@gizmodo.com,01/02/2022,BCME,No,No,No,No,Yes,No,0.4289,"Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.

Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.",0.6623,0.6362,4,No,Yes,0.2844,91,Yes,1237,No,45917,Yes,46832,6,11,11,10,Yes,No,Yes,20,2,1,10,No,Yes,No
hbuzzingr@flavors.me,05/29/2022,ACME,Yes,No,Yes,No,Yes,No,0.2851,"Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.

In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.

Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.",0.1446,0.9599,3,No,No,0.8589,42,No,4525,Yes,93973,Yes,50947,5,10,5,7,No,No,Yes,3,20,15,8,No,Yes,No
rjimes@multiply.com,11/24/2020,ACME,Yes,No,No,Yes,No,No,0.7497,"Fusce consequat. Nulla nisl. Nunc nisl.

Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.",0.3249,0.843,4,Yes,Yes,0.6327,88,No,1246,No,8244,No,31454,6,3,8,11,No,No,No,6,18,18,17,Yes,Yes,No
lsimonssont@pinterest.com,01/16/2020,CCME,Yes,Yes,Yes,No,No,Yes,0.7264,"Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.

Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.

Fusce consequat. Nulla nisl. Nunc nisl.",0.4738,0.1671,1,No,Yes,0.8192,56,Yes,8791,Yes,65168,Yes,77713,0,5,11,8,Yes,No,Yes,11,0,19,0,Yes,Yes,Yes
fterransu@bing.com,02/15/2020,BCME,Yes,No,Yes,Yes,No,Yes,0.8798,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.

Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.",0.5868,0.0098,4,Yes,No,0.3266,57,Yes,9604,No,6590,Yes,23704,5,9,5,6,Yes,Yes,Yes,17,10,5,16,Yes,Yes,Yes
jmillmorev@artisteer.com,06/01/2020,ACME,Yes,No,Yes,No,No,No,0.3542,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.",0.0201,0.6519,5,Yes,No,0.5166,19,No,3633,No,64633,Yes,83707,0,3,1,0,Yes,No,Yes,5,17,19,5,Yes,Yes,No
clockhurstw@mail.ru,12/27/2021,CCME,Yes,Yes,Yes,Yes,Yes,No,0.2211,"Fusce consequat. Nulla nisl. Nunc nisl.

Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.

In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.",0.0422,0.495,1,Yes,No,0.9056,37,No,7448,Yes,92710,Yes,78420,8,5,1,6,Yes,No,Yes,2,12,6,12,Yes,No,No
egregoriox@tumblr.com,10/01/2021,ACME,Yes,Yes,No,Yes,No,Yes,0.0674,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.

Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.

Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",0.3174,0.5635,4,Yes,Yes,0.9919,2,Yes,6720,No,11175,Yes,66373,2,4,7,11,No,No,No,9,10,20,0,Yes,Yes,No
ckissy@so-net.ne.jp,12/14/2020,BCME,No,No,Yes,No,Yes,Yes,0.5249,"Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.

Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.

Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.",0.7361,0.3534,5,No,No,0.7108,7,Yes,9597,No,45984,Yes,5500,2,2,11,11,No,Yes,Yes,4,0,17,3,Yes,No,Yes
dgrishankovz@alexa.com,12/19/2022,BCME,No,Yes,No,No,No,Yes,0.684,"Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.

Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.",0.4871,0.3554,3,Yes,No,0.9181,15,Yes,5215,Yes,79242,Yes,49889,9,2,11,4,Yes,Yes,Yes,5,8,7,15,No,No,No
bmandrake10@trellian.com,02/01/2022,CCME,Yes,Yes,No,Yes,Yes,Yes,0.0175,"Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.

Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.",0.3994,0.9251,0,No,Yes,0.7598,54,Yes,307,Yes,83685,No,3776,10,5,3,7,No,No,No,0,18,3,3,No,No,No
lelsop11@netscape.com,12/12/2020,CCME,Yes,No,No,No,No,Yes,0.9588,"Phasellus in felis. Donec semper sapien a libero. Nam dui.

Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius.

Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.",0.1467,0.3071,4,Yes,Yes,0.6633,3,Yes,16,No,17780,No,73379,4,11,6,5,No,No,No,16,12,14,9,No,No,Yes
jtellett12@ucla.edu,08/10/2022,ACME,Yes,Yes,Yes,Yes,No,Yes,0.0243,"Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.

Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",0.6294,0.1837,5,Yes,Yes,0.0777,73,No,6947,Yes,53926,No,33057,8,9,7,0,Yes,No,No,9,2,0,19,No,Yes,Yes
akernes13@xing.com,05/11/2020,ACME,No,Yes,Yes,Yes,No,No,0.544,"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.

Fusce consequat. Nulla nisl. Nunc nisl.

Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.",0.1397,0.094,4,No,No,0.1625,47,No,5289,Yes,61128,Yes,52782,1,1,5,12,No,Yes,Yes,7,11,1,1,Yes,No,No
eocuddie14@amazon.de,12/22/2020,CCME,No,Yes,No,Yes,Yes,Yes,0.9018,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.

Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.

Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.",0.1685,0.6675,2,Yes,Yes,0.2225,63,No,5810,Yes,23073,Yes,5174,10,3,5,9,Yes,No,No,7,4,8,11,No,Yes,No
crakestraw15@i2i.jp,08/19/2020,CCME,Yes,No,No,No,Yes,Yes,0.992,"Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.

Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",0.0847,0.385,4,No,No,0.1777,43,Yes,4214,Yes,11780,Yes,87003,3,8,7,5,No,No,No,5,12,18,5,Yes,Yes,Yes
dclemenson16@mit.edu,02/23/2020,ACME,No,No,Yes,No,No,Yes,0.5215,"Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.

Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.

Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.",0.8716,0.3278,3,Yes,Yes,0.5965,43,No,8598,No,10821,Yes,58482,7,0,4,12,Yes,Yes,Yes,14,8,10,11,No,Yes,Yes
zscollick17@omniture.com,07/17/2022,BCME,No,No,No,No,Yes,Yes,0.4088,"Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",0.7736,0.3378,0,No,Yes,0.6015,65,Yes,8016,No,72580,No,28959,10,8,2,1,Yes,Yes,No,10,18,12,16,No,Yes,No
aartharg18@ihg.com,06/20/2022,ACME,Yes,No,Yes,No,Yes,Yes,0.0656,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.

Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.",0.8574,0.1392,0,Yes,Yes,0.1004,22,No,376,Yes,92591,Yes,27362,3,2,7,5,No,Yes,Yes,9,8,15,11,No,Yes,No
ajedrzejkiewicz19@instagram.com,03/30/2021,BCME,No,No,Yes,Yes,No,No,0.9342,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.",0.6211,0.3537,5,No,Yes,0.4913,75,No,1377,No,1744,No,47329,8,0,7,7,No,Yes,No,2,13,17,20,No,No,Yes
jdanahar1a@bloomberg.com,04/18/2021,BCME,Yes,No,Yes,No,Yes,No,0.8898,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius.

Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.

Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.",0.6118,0.7619,1,No,Yes,0.2535,84,No,7937,Yes,21511,No,20776,0,3,10,7,No,No,Yes,3,20,19,3,Yes,No,No
oroust1b@nbcnews.com,02/16/2021,ACME,No,No,Yes,No,Yes,No,0.1464,"Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.

Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.

Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.",0.7475,0.4135,1,No,No,0.9555,44,No,2249,Yes,77805,No,53806,8,8,4,7,Yes,Yes,No,4,2,11,3,No,Yes,No
llorenzetto1c@networksolutions.com,02/13/2022,ACME,No,Yes,Yes,No,Yes,Yes,0.601,"In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.

Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.

Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.",0.4498,0.4437,4,No,No,0.2198,67,No,4136,No,42339,Yes,63339,12,7,4,9,No,Yes,No,2,11,2,11,No,No,Yes
hatterbury1d@meetup.com,03/26/2022,ACME,Yes,Yes,Yes,Yes,Yes,No,0.5529,"Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.

Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",0.969,0.1271,5,No,Yes,0.6786,36,No,3246,No,26844,No,9943,0,4,0,8,No,Yes,No,3,11,14,6,No,No,No
ncheevers1e@t-online.de,05/01/2021,CCME,Yes,No,Yes,No,No,Yes,0.3561,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.

Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.

In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.",0.5994,0.26,4,No,No,0.1772,70,Yes,8881,Yes,81191,No,12538,12,12,7,10,No,No,No,12,4,8,1,Yes,No,No
